t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_dtheta
0.0,7.470345474798855e-17,-38.78,12.2,1.5707963267948966,40.0,0.03638668609567162,3.1666666666666665,12.2,0.0
0.1,1.5063155629512443e-16,-37.54,12.399999999999999,1.5707963267948966,38.78,0.039487194302922676,3.014754098360654,12.399999999999999,0.0
0.2,2.277843046414077e-16,-36.28,12.599999999999998,1.5707963267948966,37.54,0.043024517934959254,2.8661290322580637,12.599999999999998,0.0
0.30000000000000004,3.0616169978683826e-16,-35.0,12.799999999999997,1.5707963267948966,36.28,0.0470824730336689,2.720634920634924,12.799999999999997,0.0
0.4,3.857637417314162e-16,-33.7,12.999999999999996,1.5707963267948966,35.0,0.05176559905092692,2.5781249999999987,12.999999999999996,0.0
0.5,4.6659043047514155e-16,-32.38,13.199999999999996,1.5707963267948966,33.7,0.05720552069448029,2.4384615384615427,13.199999999999996,0.0
0.6000000000000001,5.486417660180142e-16,-31.040000000000003,13.399999999999995,1.5707963267948966,32.38,0.06356967806105009,2.301515151515153,13.399999999999995,0.0
0.7000000000000001,6.306931015608869e-16,-29.700000000000003,13.399999999999995,1.5707963267948966,31.040000000000003,0.07107347665330029,2.1671641791044793,13.399999999999995,0.0
0.8,7.115197903046121e-16,-28.380000000000003,13.199999999999996,1.5707963267948966,29.700000000000003,0.0798553201352657,2.0671641791044766,13.199999999999996,0.0
0.9,7.9112183224919e-16,-27.080000000000002,12.999999999999996,1.5707963267948966,28.380000000000003,0.09003848289113053,1.9984848484848472,12.999999999999996,0.0
1.0,8.694992273946207e-16,-25.8,12.799999999999997,1.5707963267948966,27.080000000000002,0.10190334002360947,1.929230769230773,12.799999999999997,0.0
1.1,9.460396523413302e-16,-24.55,12.499999999999996,1.5707963267948966,25.8,0.11579901294405065,1.8593749999999987,12.499999999999996,0.0
1.2000000000000002,1.0201307836897452e-15,-23.34,12.099999999999996,1.5707963267948966,24.55,0.13202158141586243,1.803999999999997,12.099999999999996,0.0
1.3,1.0917726214398653e-15,-22.17,11.699999999999996,1.5707963267948966,23.34,0.15086713142038802,1.7636363636363623,11.699999999999996,0.0
1.4000000000000001,1.1609651655916907e-15,-21.040000000000003,11.299999999999995,1.5707963267948966,22.17,0.17280625223201443,1.723931623931623,11.299999999999995,0.0
1.5,0.054477294505040394,-19.95136221616949,10.899999999999995,1.5207963267948967,21.040000000000003,0.19839930186453547,1.684955752212391,10.899999999999995,-0.05
1.6,0.1593023819842096,-18.90660784262756,10.499999999999995,1.470796326794897,19.95143659129367,0.22827218965425372,1.671785812723731,10.499999999999995,-0.05
1.7000000000000002,0.31023489578254426,-17.90794905391216,10.099999999999994,1.420796326794897,18.907278951869618,0.26309701162301663,,10.099999999999994,-0.05
1.8,0.502944146653753,-16.957284473406155,9.699999999999994,1.3707963267948973,17.91063608608233,0.30360682391607385,,9.699999999999994,-0.05
1.9000000000000001,0.7330298287604584,-16.056195921215256,9.299999999999994,1.3207963267948974,16.964741363388796,0.3505721044745087,,9.299999999999994,-0.05
2.0,0.9960428126890496,-15.205946445893467,8.899999999999993,1.2707963267948976,16.072920089090907,0.4047572758380847,,8.899999999999993,-0.05
2.1,1.287505949026182,-14.407479639973195,8.499999999999993,1.2207963267948978,15.238533676180582,0.4668494632272628,,8.499999999999993,-0.05
