t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_dtheta
0.0,7.50096164477754e-17,-38.775,12.25,1.5707963267948966,40.0,0.08088404471178677,3.1666666666666665,12.25,0.0
0.1,1.5155004139448496e-16,-37.525,12.5,1.5707963267948966,38.775,0.08715303273502785,3.0020408163265304,12.5,0.0
0.2,2.2962127484012875e-16,-36.25,12.75,1.5707963267948966,37.525,0.09428381728789674,2.8419999999999965,12.75,0.0
0.30000000000000004,3.092233167847067e-16,-34.95,13.0,1.5707963267948966,36.25,0.1024395385787881,2.6862745098039214,13.0,0.0
0.4,3.903561672282189e-16,-33.625,13.25,1.5707963267948966,34.95,0.11182363551803262,2.534615384615388,13.25,0.0
0.5,4.730198261706652e-16,-32.275,13.5,1.5707963267948966,33.625,0.12269230810523818,2.3867924528301887,13.5,0.0
0.6000000000000001,5.572142936120457e-16,-30.9,13.75,1.5707963267948966,32.275,0.13537168587864273,2.2425925925925925,13.75,0.0
0.7000000000000001,6.40949518503746e-16,-29.5325,13.675,1.5707963267948966,30.9,0.15028183493919137,2.101818181818182,13.675,0.0
0.8,7.228988001466898e-16,-28.194166666666664,13.383333333333335,1.5707963267948966,29.5325,0.16752758557722658,2.013345521023764,13.383333333333335,0.0
0.9,8.023987881913388e-16,-26.895833333333332,12.983333333333334,1.5707963267948966,28.194166666666664,0.18725119988830163,1.9572229140722255,12.983333333333334,0.0
1.0,8.794494826376931e-16,-25.6375,12.583333333333334,1.5707963267948966,26.895833333333332,0.20968280999662728,1.9175224646983287,12.583333333333334,0.0
1.1,9.540508834857527e-16,-24.419166666666666,12.183333333333334,1.5707963267948966,25.6375,0.23523677873668403,1.878476821192053,12.183333333333334,0.0
1.2000000000000002,1.0262029907355176e-15,-23.24083333333333,11.783333333333333,1.5707963267948966,24.419166666666666,0.264394749279519,1.8401504787961673,11.783333333333333,0.0
1.3,0.06825902737576943,-22.104548385373757,11.383333333333333,1.510796326794896,23.24083333333333,0.29771640681110084,1.8026166902404521,11.383333333333333,-0.06
1.4000000000000001,0.1997429350481003,-21.01411356699426,10.983333333333333,1.4507963267948956,22.104653777341724,0.33577663954159226,1.8119614521422995,10.983333333333333,-0.06
1.5,0.3892159002570992,-19.972878992126834,10.583333333333332,1.390796326794895,21.01506284184356,0.37911779171128546,,10.583333333333332,-0.06
1.6,0.6312764081687332,-18.98373315440252,10.183333333333332,1.3307963267948946,19.976671000223092,0.4282674794669118,,10.183333333333332,-0.06
1.7000000000000002,0.9203936770190795,-18.0490956225413,9.783333333333331,1.270796326794894,18.994226343314743,0.4836908652586681,,9.783333333333331,-0.06
1.8,1.2244540519962668,-17.161392556863834,9.383333333333331,1.2407963267948938,18.072547615439728,0.5457207705744855,,9.383333333333331,-0.03
1.9000000000000001,1.4899297043137056,-16.303181944132668,8.98333333333333,1.270796326794894,17.205019099560207,0.6153362053729298,,8.98333333333333,0.029999999999999995
2.0,1.731256516675502,-15.479472358935066,8.58333333333333,1.2857963267948938,16.37112189275035,0.6949642119688997,,8.58333333333333,0.015000000000000003
2.1,1.9495317423658647,-14.690786508742313,8.18333333333333,1.3007963267948934,15.575985157850084,0.7854819890714551,,8.18333333333333,0.015000000000000003
2.2,2.1458627520862916,-13.937621910264706,7.78333333333333,1.3157963267948931,14.819577668069265,0.8881828794004145,,7.78333333333333,0.015000000000000003
2.3000000000000003,2.3213665245983286,-13.220450705498958,7.383333333333329,1.3307963267948928,14.101844966680146,1.0044089856518221,,7.383333333333329,0.015000000000000003
2.4000000000000004,2.48736219205328,-12.542133019727292,6.983333333333329,1.3307963267948928,13.42270685808394,1.135506613936126,,6.983333333333329,0.0
