t,sv_x,sv_y,sv_v,sv_theta,ov_x,ov_y,dist_to_ov,risk,ttc,picked_v,picked_dtheta
0,7.47034547479886e-17,-38.78,12.2,1.5707963267949,0,0,40,0.0363866868565965,7.6,12.2,0
0.1,1.50631556295124e-16,-37.54,12.4,1.5707963267949,4.28626379701574e-17,0.7,39.48,0.0376656295069712,7.20769230769232,12.4,0
0.2,2.27784304641408e-16,-36.28,12.6,1.5707963267949,8.57252759403147e-17,1.4,38.94,0.0390603013726347,6.84074074074074,12.6,0
0.3,3.06161699786838e-16,-35,12.8,1.5707963267949,1.28587913910472e-16,2.1,38.38,0.0405829645331438,6.49642857142857,12.8,0
0.4,3.85763741731416e-16,-33.7,13,1.5707963267949,1.71450551880629e-16,2.8,37.8,0.0422476482686238,6.17241379310344,13,0
0.5,4.66590430475142e-16,-32.38,13.2,1.5707963267949,2.14313189850787e-16,3.5,37.2,0.0440704544642407,5.86666666666667,13.2,0
0.6,5.48641766018014e-16,-31.04,13.4,1.5707963267949,2.57175827820944e-16,4.2,36.58,0.0460699264969821,5.57741935483872,13.4,0
0.7,6.31917748360034e-16,-29.68,13.6,1.5707963267949,3.00038465791102e-16,4.9,35.94,0.0482674969976744,5.30312500000001,13.6,0
0.8,7.16418377501201e-16,-28.3,13.8,1.5707963267949,3.42901103761259e-16,5.6,35.28,0.0506880341893959,5.04242424242424,13.8,0
0.9,8.00919006642369e-16,-26.92,13.8,1.5707963267949,3.85763741731416e-16,6.3,34.6,0.0533605121863602,4.79411764705882,13.8,0
1,8.85419635783536e-16,-25.54,13.8,1.5707963267949,4.28626379701574e-16,7,33.92,0.0562312144552514,4.69411764705882,13.8,0
1.1,9.69920264924703e-16,-24.16,13.8,1.5707963267949,4.71489017671731e-16,7.7,33.24,0.0593192717250153,4.59411764705884,13.8,0
1.2,1.05442089406587e-15,-22.78,13.8,1.5707963267949,5.14351655641888e-16,8.4,32.56,0.0626461064841095,4.49411764705883,13.8,0
1.3,1.13892152320704e-15,-21.4,13.8,1.5707963267949,5.57214293612046e-16,9.1,31.88,0.0662357631914865,4.39411764705883,13.8,0
1.4,1.22280982894863e-15,-20.03,13.7,1.5707963267949,6.00076931582203e-16,9.8,31.2,0.0701152944424573,4.29411764705883,13.7,0
1.5,1.30669813469023e-15,-18.66,13.7,1.5707963267949,6.4293956955236e-16,10.5,30.53,0.0742509692220178,4.25820895522389,13.7,0
1.6,1.39058644043182e-15,-17.29,13.7,1.5707963267949,6.85802207522518e-16,11.2,29.86,0.0787306450009057,4.15820895522389,13.7,0
1.7,1.47447474617341e-15,-15.92,13.7,1.5707963267949,7.28664845492675e-16,11.9,29.19,0.0835916465007293,4.05820895522388,13.7,0
1.8,1.55775072851543e-15,-14.56,13.6,1.5707963267949,7.71527483462833e-16,12.6,28.52,0.0888763385155027,3.95820895522389,13.6,0
1.9,1.64102671085745e-15,-13.2,13.6,1.5707963267949,8.1439012143299e-16,13.3,27.86,0.0945432994176216,3.91818181818182,13.6,0
2,1.7236903697999e-15,-11.85,13.5,1.5707963267949,8.57252759403147e-16,14,27.2,0.100720757583545,3.81818181818182,13.5,0
2.1,1.80635402874235e-15,-10.5,13.5,1.5707963267949,9.00115397373305e-16,14.7,26.55,0.107361987658332,3.77692307692308,13.5,0
2.2,1.88840536428522e-15,-9.16000000000001,13.4,1.5707963267949,9.42978035343462e-16,15.4,25.9,0.114622404110737,3.67692307692308,13.4,0
2.3,1.97045669982809e-15,-7.82000000000001,13.4,1.5707963267949,9.85840673313619e-16,16.1,25.26,0.122449454955587,3.634375,13.4,0
2.4,2.05189571197139e-15,-6.49000000000001,13.3,1.5707963267949,1.02870331128378e-15,16.8,24.62,0.131032926914158,3.534375,13.3,0
2.5,2.13272240071512e-15,-5.17000000000001,13.2,1.5707963267949,1.07156594925393e-15,17.5,23.99,0.140314009781779,3.49047619047619,13.2,0
2.6,2.21293676605927e-15,-3.86000000000001,13.1,1.5707963267949,1.11442858722409e-15,18.2,23.37,0.150356389904899,3.44677419354839,13.1,0
2.7,2.29253880800384e-15,-2.56000000000001,13,1.5707963267949,1.15729122519425e-15,18.9,22.76,0.161230102459635,3.40327868852459,13,0
2.8,2.37152852654885e-15,-1.27000000000001,12.9,1.5707963267949,1.20015386316441e-15,19.6,22.16,0.173012202301232,3.36000000000001,12.9,0
2.9,2.44990592169428e-15,0.00999999999998935,12.8,1.5707963267949,1.24301650113456e-15,20.3,21.57,0.185787507054443,3.31694915254238,12.8,0
3,2.52767099344014e-15,1.27999999999999,12.7,1.5707963267949,1.28587913910472e-15,21,20.99,0.199649419833351,3.27413793103448,12.7,0
3.1,2.60482374178642e-15,2.53999999999999,12.6,1.5707963267949,1.32874177707488e-15,21.7,20.42,0.214700839563485,3.23157894736842,12.6,0
3.2,2.68075184333356e-15,3.77999999999999,12.4,1.5707963267949,1.37160441504504e-15,22.4,19.86,0.231055167453856,3.18928571428571,12.4,0
3.3,2.75545529808154e-15,4.99999999999999,12.2,1.5707963267949,1.41446705301519e-15,23.1,19.32,0.248497536725366,3.20740740740741,12.2,0
3.4,2.82954642942996e-15,6.20999999999999,12.1,1.5707963267949,1.45732969098535e-15,23.8,18.8,0.267057124388636,3.23076923076923,12.1,0
