t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_omega
4.8,1.36131461559149,-4.45227272590299,5,1.1357963267949,5.03883622726198,40.6425129125517,Inf,5,0
4.9,1.56519484212128,-3.99572825574683,5,1.1507963267949,4.65573945882312,44.6879509568524,Inf,5,0
5,1.76778615474525,-3.52315643987076,5.14166666666667,1.1657963267949,4.29134934345558,49.2792625035885,Inf,5.14166666666667,0
5.1,1.96526809334415,-3.02145774705637,5.39166666666667,1.1957963267949,3.94178883106539,54.5688521551226,Inf,5.39166666666667,0
5.2,2.14873979075107,-2.51092431401734,5.425,1.2257963267949,3.60437034667132,60.7549341413671,Inf,5.425,0
5.3,2.31644750803138,-1.96877085643856,5.675,1.2707963267949,3.3048182399461,67.4217078519077,Inf,5.675,0
5.4,2.46590291264725,-1.39543035374308,5.925,1.3157963267949,3.04006377278942,74.527681556291,Inf,5.925,0
5.5,2.59462690080222,-0.791496263900917,6.175,1.3607963267949,2.83335543953627,81.0990137560296,Inf,6.175,0
5.6,2.70965340172831,-0.159376691284549,6.425,1.3907963267949,2.71266567975776,85.4478848410189,Inf,6.425,0
5.7,2.79949243432572,0.502049947294487,6.675,1.4357963267949,2.71433647273558,85.3847724282004,Inf,6.675,0
5.8,2.87207139873972,1.19073604699782,6.925,1.4657963267949,2.84415401120005,80.7296579467739,Inf,6.925,0
5.9,2.92583346370791,1.90621902399333,7.175,1.4957963267949,3.10912310034176,72.5456444544003,Inf,7.175,0
6,2.95923468813088,2.64796736959785,7.425,1.5257963267949,3.49201552470592,63.1081494201712,Inf,7.425,0
6.1,2.94772261984477,3.41538102746679,7.675,1.5857963267949,3.97099497983717,54.0875909488661,Inf,7.675,0
6.2,2.88834082683112,4.20565316582071,7.925,1.6457963267949,4.51152925362616,46.4075146876423,Inf,7.925,0
6.3,2.77831324758262,5.01571500408043,8.175,1.7057963267949,5.10196347332253,40.0398120389543,Inf,8.175,0
6.4,2.61506494187678,5.84224766567595,8.425,1.7657963267949,5.73379643027642,34.8053592047224,Inf,8.425,0
6.5,2.41143302523753,6.67436053079919,8.56666666666667,1.8107963267949,6.40081420112543,30.4996305722239,Inf,8.56666666666667,0
6.6,2.18782317081339,7.48232179891926,8.38333333333333,1.8407963267949,7.09662579894813,26.9472565606078,Inf,8.38333333333333,0
6.7,1.95118231597319,8.29003702323924,8.41666666666667,1.8557963267949,7.79562118944541,24.0744276670235,Inf,8.41666666666667,0
6.8,1.7075125248506,9.12174378887565,8.66666666666667,1.8557963267949,8.5165618812314,21.6500885258716,Inf,8.66666666666667,0
6.9,1.47508903177982,9.91506408840577,8.26666666666667,1.8557963267949,9.28018366048934,19.5303019865454,Inf,8.26666666666667,0
7,1.24792275819984,10.7358756351441,8.51666666666667,1.8407963267949,10.0241899188349,17.8040047153623,Inf,8.51666666666667,0
7.1,1.0431835681916,11.5212956768113,8.11666666666667,1.8257963267949,10.8081606605247,16.2657725091556,Inf,8.11666666666667,0
7.2,0.859756374798662,12.2708448140721,7.71666666666667,1.8107963267949,11.5684262555222,14.9915903047434,Inf,7.71666666666667,0
7.3,0.696516886505602,12.9840691690775,7.31666666666667,1.7957963267949,12.3009273420766,13.92680260959,Inf,7.31666666666667,0
7.4,0.549900208384036,13.7263952390367,7.56666666666667,1.7657963267949,13.0027377102123,13.0297199543942,Inf,7.56666666666667,0
7.5,0.421509636326477,14.4974455867991,7.81666666666667,1.7357963267949,13.7374057411664,12.1980714656405,Inf,7.81666666666667,0
7.6,0.310676354741891,15.2307841362683,7.41666666666667,1.7207963267949,14.5035719364478,11.4289642985683,Inf,7.41666666666667,0
7.7,0.216238819851735,15.9260665703302,7.01666666666667,1.7057963267949,15.2339523828519,10.7746142740531,Inf,7.01666666666667,0
7.8,0.137029242695567,16.5829749510535,6.61666666666667,1.6907963267949,15.9275345119639,10.214064084691,Inf,6.61666666666667,0
7.9,0.0718741194069448,17.2012178275622,6.21666666666667,1.6757963267949,16.5835410947307,9.73114891398704,Inf,6.21666666666667,0
8,0.0195947632901016,17.7805303339308,5.81666666666666,1.6607963267949,17.2013679874678,9.3132499761953,Inf,5.81666666666666,0
8.1,-0.020992161482634,18.3206742770749,5.41666666666666,1.6457963267949,17.7805411309831,8.95040887204289,Inf,5.41666666666666,0
8.2,-0.0510741047331556,18.8214382146091,5.01666666666666,1.6307963267949,18.320686303671,8.63469015026726,Inf,5.01666666666666,0
8.3,-0.0747661067929903,19.3475717212556,5.26666666666666,1.6157963267949,18.821507512166,8.35971665459451,Inf,5.26666666666666,0
8.4,-0.0913136244047007,19.8989901565405,5.51666666666666,1.6007963267949,19.3477161825331,8.08762851014693,Inf,5.51666666666666,0
8.5,-0.0989883365954389,20.4105992617864,5.11666666666666,1.5857963267949,19.8991996680293,7.81941228773659,Inf,5.11666666666666,0
8.6,-0.0989883365954394,20.9105992617864,5,1.5707963267949,20.4108392996471,7.58479431460672,Inf,5,0
8.7,-0.0989883365954398,21.4355992617864,5.25,1.5707963267949,20.9108335600904,7.36768805612711,Inf,5.25,0
8.8,-0.0989883365954402,21.9855992617864,5.5,1.5707963267949,21.435827821726,7.15168754627311,Inf,5.5,0
8.9,-0.0989883365954407,22.5605992617864,5.75,1.5707963267949,21.9858221040435,6.93754147643309,Inf,5.75,0
9,-0.0989883365954412,23.1605992617864,6,1.5707963267949,22.5608164245379,6.72591028428993,Inf,6,0
9.1,-0.0989883365954417,23.7855992617864,6.25,1.5707963267949,23.1608107987575,6.51736934472293,Inf,6.25,0
9.2,-0.0989883365954423,24.4355992617864,6.5,1.5707963267949,23.7858052403755,6.31241312077127,Inf,6.5,0
9.3,-0.0989883365954428,25.1105992617864,6.75,1.5707963267949,24.4357997612806,6.11146001840153,Inf,6.75,0
9.4,-0.0989883365954434,25.8105992617864,7,1.5707963267949,25.1107943716803,5.91485771730981,Inf,7,0
9.5,-0.098988336595444,26.5355992617864,7.25,1.5707963267949,25.8107890802143,5.72288878067324,Inf,7.25,0
9.6,-0.0989883365954446,27.2855992617864,7.5,1.5707963267949,26.5357838940722,5.53577637778105,Inf,7.5,0
9.7,-0.0989883365954453,28.0605992617864,7.75,1.5707963267949,27.2857788191135,5.35368998341744,Inf,7.75,0
9.8,-0.0989883365954459,28.8605992617864,8,1.5707963267949,28.0607738599874,5.17675094574914,Inf,8,0
9.9,-0.0989883365954466,29.6855992617864,8.25,1.5707963267949,28.8607690202498,5.00503783966332,Inf,8.25,0
10,-0.0989883365954473,30.5355992617864,8.5,1.5707963267949,29.685764302476,4.83859154467154,Inf,8.5,0
